g_x_mean,g_x_std,g_x_max,g_x_min,g_x_max_to_min,g_x_median,g_y_mean,g_y_std,g_y_max,g_y_min,g_y_max_to_min,g_y_median,g_z_mean,g_z_std,g_z_max,g_z_min,g_z_max_to_min,g_z_median,a_x_mean,a_x_std,a_x_max,a_x_min,a_x_max_to_min,a_x_median,a_y_mean,a_y_std,a_y_max,a_y_min,a_y_max_to_min,a_y_median,a_z_mean,a_z_std,a_z_max,a_z_min,a_z_max_to_min,a_z_median,motion
-0.31856035272206307,0.7746224919866899,2.4725888,-2.2994502,4.7720389999999995,-0.2272676000000001,-0.20794617306590266,1.45581507063736,3.2024285,-3.0134843,6.2159128,-0.07552180000000021,0.14454566275071645,0.4593188394277954,1.7523790000000001,-0.7303233,2.4827023,0.14514350000000004,0.8087596214084508,0.173393494350834,1.2577378,0.24545599999999998,1.0122818,0.8002793,0.6048243143661972,0.14369111099856355,1.0828536999999998,0.27778169999999996,0.8050719999999998,0.6012374,-0.0792684969014085,0.16666486953248041,0.3005599999999998,-0.7098862000000001,1.0104462,-0.06698750000000002,Downstairs
-0.03479441733021074,1.1799523712162405,2.9254101,-2.3497268,5.2751369,-0.09085709999999989,-0.3004736114754097,1.0766322015863854,3.0453842,-3.3448028,6.390187,-0.04379399999999982,0.11540763887587831,0.33586176480278596,1.6256751,-0.7388269,2.364502,0.04850140000000006,0.21900357839080464,0.15334132531644876,0.5563217,-0.13995359999999993,0.6962752999999999,0.23092820000000006,0.9790391664367816,0.2127542215686038,1.5463607,0.3451034,1.2012573,0.9867035999999999,-0.18850196298850574,0.15647351206865193,0.36719809999999997,-0.7417939,1.108992,-0.21791680000000002,Downstairs
-0.05620405430463586,0.6026865779502386,1.7494390999999996,-1.3710229,3.120462,-0.07650970000000004,-0.29633576136865336,0.7579367456580658,2.7294124,-2.8654875,5.5948999,-0.14963939999999992,0.06563634150110374,0.26446640429290896,0.928697,-0.8040992000000001,1.7327962000000001,0.07196689999999999,0.2688935132608695,0.10153252748685751,0.5302887,-0.008938600000000015,0.5392273,0.27900769999999997,0.9650903417391306,0.25846237082195483,1.6573532999999998,0.352104,1.3052492999999998,0.95906975,-0.11885433673913044,0.12609421080043487,0.21357099999999996,-0.4490736,0.6626445999999999,-0.11624005000000001,Downstairs
0.0651928986910995,1.5062639718333102,3.4423094000000005,-2.6073602,6.0496696000000005,-0.08147075000000004,-0.33462178403141346,1.0819995960920985,2.5639967,-4.279992999999999,6.8439897,-0.36201530000000004,0.10372848743455504,0.5852547773994209,1.6227949,-1.5030039,3.1257988,0.04497110000000004,-0.025562748329048812,0.16345605323844326,0.46246490000000007,-0.5204681,0.9829330000000001,-0.027352899999999947,1.0657777249357328,0.24722681252554662,1.8308609,0.31709750000000003,1.5137634,1.0612487,-0.06823667120822623,0.2596231893663022,0.6484665000000001,-0.7660705999999999,1.4145371,-0.10938859999999995,Downstairs
0.006690602064220224,0.8015827211472139,1.8248650999999998,-2.1212375999999997,3.9461026999999995,0.07001060000000009,-0.3100297371559634,0.7726069342390807,2.2341555,-3.5476429000000005,5.7817984000000004,-0.19190160000000012,-0.08478833142201836,0.41544613607014796,1.0972476,-1.5770072000000002,2.6742548,-0.015443349999999977,-0.191969939503386,0.1089090375695184,0.061496099999999956,-0.8296949999999998,0.8911910999999998,-0.17590640000000002,0.9450967178329571,0.22318301165124294,1.5873564999999998,0.38766169999999994,1.1996947999999998,0.9469909,0.2087441216704289,0.20170107500121415,0.6857744,-0.7667754999999999,1.4525499,0.224034,Downstairs
0.1015746803738319,1.168293063856262,2.7241803,-2.2947785,5.0189588,-0.006041849999999898,-0.28674791285046725,0.9075781210315237,2.4403804,-3.924454,6.3648343999999994,-0.17003819999999986,0.1129634670560748,0.45749395674403626,1.7693032000000002,-0.9180021,2.6873053000000002,0.031099900000000034,-0.1567741112643678,0.08764813600019379,0.09068290000000004,-0.4631453,0.5538282,-0.15205999999999997,1.0072619291954024,0.1974877234054124,1.55083,0.5317567999999999,1.0190732,0.9957551,-0.10974421103448269,0.18287998780567086,0.5003525000000002,-0.5804947999999999,1.0808473,-0.1382676,Downstairs
-0.016117792287234152,0.7813426179918938,1.9916171999999996,-1.3944370000000004,3.3860542000000002,-0.12732535000000011,-0.36892303430851064,0.8633036655066945,3.2725057,-4.0565898,7.3290955,-0.23558744999999998,0.08885609175531915,0.5157725682495502,1.4468116000000002,-1.1591442,2.6059558000000003,0.062066500000000004,0.13600466230366498,0.10009744054881163,0.40691380000000005,-0.21886599999999992,0.6257798,0.13557355000000004,0.9879005541884817,0.223215242050553,1.7666992000000001,0.34271550000000006,1.4239837,0.97002405,-0.09695371649214661,0.1683719009474391,0.3783218,-0.6167908,0.9951125999999999,-0.058200850000000005,Downstairs
-0.09693043410138254,0.5388944756639805,1.4075760000000002,-1.3943371,2.8019131,-0.18253745000000007,-0.29450815046082945,0.8097824006969276,2.3399539000000003,-3.4143115,5.7542654,-0.18478850000000002,0.07757788663594466,0.29679319130752835,0.969142,-0.6073035,1.5764455,0.07718554999999996,0.3824639108597285,0.14999110364360252,0.8800598000000001,0.05198359999999991,0.8280762000000002,0.37128764999999997,0.9178062386877825,0.23431004938965672,1.5418287999999998,0.31156929999999966,1.2302595,0.9298310999999998,-0.16699981651583712,0.12003532900414471,0.1498183,-0.517494,0.6673123,-0.15485605000000002,Downstairs
0.11805481328502408,1.2556758991070498,3.2945000999999996,-2.5093223,5.8038224,-0.025517400000000134,-0.2889409391304349,0.8726881634719617,2.0267919,-3.2690019,5.2957938,-0.14342990000000005,0.08222956521739137,0.4872477150080078,1.9307551,-1.0141814999999998,2.9449366,0.008364650000000067,-0.2859956973871734,0.1461464155612805,0.19005759999999997,-0.8398192,1.0298768,-0.27126300000000003,0.9892306035629453,0.28532648112878284,1.6706437,0.16084130000000002,1.5098024,1.0084687,-0.05613485154394311,0.15412365666097275,0.45156709999999983,-0.6204726000000002,1.0720397,-0.08040620000000005,Downstairs
0.25147392509363303,0.7361594247564726,2.6076191,-1.9635866,4.5712057,0.21271475000000004,0.028564395880149734,0.5390933502375997,1.0580631999999999,-1.3147253,2.3727885,0.1259645499999999,-0.04370808464419475,0.6461933475928573,1.2772257999999999,-1.4909323,2.7681581,0.038811600000000036,-0.9937274749539595,0.20589144908232898,-0.5256622,-1.5926285,1.0669663,-0.9806366000000001,0.035955726519337,0.1003423554070433,0.3653687,-0.29275210000000007,0.6581208000000001,0.031910599999999976,0.06972175672191529,0.10438478145208002,0.3302277,-0.2485337,0.5787614,0.0656462,Downstairs
